filename,galaxy,split,cut_type,cut_category,shell_id,positive_manifest,local_velocity_kms,velocity_center_kms,velocity_offset_kms,spatial_window_kpc,velocity_window_kms,mask_pixels_manifest,quality_flags,pv_cut_center,pv_cut_angle_deg,spatial_offset_pix,spatial_offset_beam,angle_offset_deg,source,source_shell_id,sample_index,crop_v0,crop_pos0,true_patch,label_pixels_in_patch,max_probability,mean_probability,probability_mass,pred_patch_0p05,patch_tp_0p05,patch_fp_0p05,patch_fn_0p05,patch_tn_0p05,pixel_precision_0p05,pixel_recall_0p05,pixel_f1_0p05,pixel_tp_0p05,pixel_fp_0p05,pixel_fn_0p05,pred_patch_0p075,patch_tp_0p075,patch_fp_0p075,patch_fn_0p075,patch_tn_0p075,pixel_precision_0p075,pixel_recall_0p075,pixel_f1_0p075,pixel_tp_0p075,pixel_fp_0p075,pixel_fn_0p075
ngc_2366__std_000750.npy,ngc_2366,val,deployment_grid_standardized,fine_grid_deployment_like,,0,115.25615692138672,115.25615692138672,0.0,5.0,200.0,0,,"[384.0, 768.0]",90.0,,,,deployment_grid_standardized,,0,0,0,0,0,0.9999918341636658,0.024522090330719948,602.6549072265625,1,0,1,0,0,0.0,0.0,0.0,0,680,0,1,0,1,0,0,0.0,0.0,0.0,0,674,0
ngc_2366__std_000750.npy,ngc_2366,val,deployment_grid_standardized,fine_grid_deployment_like,,0,115.25615692138672,115.25615692138672,0.0,5.0,200.0,0,,"[384.0, 768.0]",90.0,,,,deployment_grid_standardized,,1,0,0,0,0,0.9999918341636658,0.024522090330719948,602.6549072265625,1,0,1,0,0,0.0,0.0,0.0,0,680,0,1,0,1,0,0,0.0,0.0,0.0,0,674,0
ho_i__std_000204.npy,ho_i,val,deployment_grid_standardized,fine_grid_deployment_like,,0,138.23464965820312,138.23464965820312,0.0,5.0,200.0,0,,"[576.0, 480.0]",0.0,,,,deployment_grid_standardized,,0,0,0,0,0,0.9999892711639404,0.014551383443176746,357.61480712890625,1,0,1,0,0,0.0,0.0,0.0,0,424,0,1,0,1,0,0,0.0,0.0,0.0,0,407,0
ho_i__std_000204.npy,ho_i,val,deployment_grid_standardized,fine_grid_deployment_like,,0,138.23464965820312,138.23464965820312,0.0,5.0,200.0,0,,"[576.0, 480.0]",0.0,,,,deployment_grid_standardized,,1,0,0,0,0,0.9999892711639404,0.014551383443176746,357.61480712890625,1,0,1,0,0,0.0,0.0,0.0,0,424,0,1,0,1,0,0,0.0,0.0,0.0,0,407,0
ngc_4449__std_000575.npy,ngc_4449,val,deployment_grid_standardized,fine_grid_deployment_like,,0,185.10076904296875,185.10076904296875,0.0,5.0,200.0,0,,"[384.0, 576.0]",135.0,,,,deployment_grid_standardized,,0,0,0,0,0,0.9999682307243347,0.011447309516370296,281.3290710449219,1,0,1,0,0,0.0,0.0,0.0,0,320,0,1,0,1,0,0,0.0,0.0,0.0,0,313,0
ngc_4449__std_000575.npy,ngc_4449,val,deployment_grid_standardized,fine_grid_deployment_like,,0,185.10076904296875,185.10076904296875,0.0,5.0,200.0,0,,"[384.0, 576.0]",135.0,,,,deployment_grid_standardized,,1,0,0,0,0,0.9999682307243347,0.011447309516370296,281.3290710449219,1,0,1,0,0,0.0,0.0,0.0,0,320,0,1,0,1,0,0,0.0,0.0,0.0,0,313,0
ho_ii__std_001084.npy,ho_ii,test,deployment_grid_standardized,fine_grid_deployment_like,,0,167.46286010742188,167.46286010742188,0.0,5.0,200.0,0,,"[384.0, 480.0]",0.0,,,,deployment_grid_standardized,,0,0,0,0,0,0.999956488609314,0.010259397327899933,252.13494873046875,1,0,1,0,0,0.0,0.0,0.0,0,326,0,1,0,1,0,0,0.0,0.0,0.0,0,309,0
ho_ii__std_001084.npy,ho_ii,test,deployment_grid_standardized,fine_grid_deployment_like,,0,167.46286010742188,167.46286010742188,0.0,5.0,200.0,0,,"[384.0, 480.0]",0.0,,,,deployment_grid_standardized,,1,0,0,0,0,0.999956488609314,0.010259397327899933,252.13494873046875,1,0,1,0,0,0.0,0.0,0.0,0,326,0,1,0,1,0,0,0.0,0.0,0.0,0,309,0
ngc_4736__std_000681.npy,ngc_4736,val,deployment_grid_standardized,fine_grid_deployment_like,,0,362.7354736328125,362.7354736328125,0.0,5.0,200.0,0,,"[576.0, 576.0]",45.0,,,,deployment_grid_standardized,,0,0,0,0,0,0.9999191761016846,0.01957300864160061,481.0262756347656,1,0,1,0,0,0.0,0.0,0.0,0,585,0,1,0,1,0,0,0.0,0.0,0.0,0,569,0
ngc_4736__std_000681.npy,ngc_4736,val,deployment_grid_standardized,fine_grid_deployment_like,,0,362.7354736328125,362.7354736328125,0.0,5.0,200.0,0,,"[576.0, 576.0]",45.0,,,,deployment_grid_standardized,,1,0,0,0,0,0.9999191761016846,0.01957300864160061,481.0262756347656,1,0,1,0,0,0.0,0.0,0.0,0,585,0,1,0,1,0,0,0.0,0.0,0.0,0,569,0
